quote,cited
Seawater Battery-Based Wireless Marine Buoy System With Battery Degradation Prediction and Multiple Power Optimization Capabilities.,Indoor Magnetic Signature Based Localization Algorithm without Person-Dependent Parameter Calibration.
Seawater Battery-Based Wireless Marine Buoy System With Battery Degradation Prediction and Multiple Power Optimization Capabilities.,A modification of kernel discriminant analysis for high-dimensional data - with application to face recognition.
Seawater Battery-Based Wireless Marine Buoy System With Battery Degradation Prediction and Multiple Power Optimization Capabilities.,Faster Similarity Search for Multimedia Data Via Query Transformations.
Seawater Battery-Based Wireless Marine Buoy System With Battery Degradation Prediction and Multiple Power Optimization Capabilities.,A Novelty Approach to Retina Diagnosing Using Biometric Techniques With SVM and Clustering Algorithms.
Modified Magnitude-Phase Spectrum Information for Spoofing Detection.,Explanation and description in computational neuroscience.
Modified Magnitude-Phase Spectrum Information for Spoofing Detection.,High-tech indicators: assessing the competitiveness of selected European countries.
Modified Magnitude-Phase Spectrum Information for Spoofing Detection.,A workflow management system to feed digital libraries: proposal and case study.
Modified Magnitude-Phase Spectrum Information for Spoofing Detection.,Engagement in the course of programming in higher education through the use of gamification.
Modified Magnitude-Phase Spectrum Information for Spoofing Detection.,Combining multi-target regression deep neural networks and kinetic modeling to predict relative fluxes in reaction systems.
An enhanced AHP-TOPSIS-based clustering algorithm for high-quality live video streaming in flying ad hoc networks.,Implementation of Machine Learning for Autonomic Capabilities in Self-Organizing Heterogeneous Networks.
An enhanced AHP-TOPSIS-based clustering algorithm for high-quality live video streaming in flying ad hoc networks.,An Enhanced Secure Authentication Scheme for Vehicular Ad Hoc Networks Without Pairings.
An enhanced AHP-TOPSIS-based clustering algorithm for high-quality live video streaming in flying ad hoc networks.,"A Common Set of Perceptual Observables for Grouping, Figure-Ground Discrimination, and Texture Classification."
An enhanced AHP-TOPSIS-based clustering algorithm for high-quality live video streaming in flying ad hoc networks.,Knowledge Transfer in Information Security Capacity Building for Community-Based Organizations.
An enhanced AHP-TOPSIS-based clustering algorithm for high-quality live video streaming in flying ad hoc networks.,The halo algorithm-an algorithm for hierarchical design of rule checking of VLSI circuits.
Distributed Nesterov Gradient and Heavy-Ball Double Accelerated Asynchronous Optimization.,Creating Face Models from Vague Mental Images.
Distributed Nesterov Gradient and Heavy-Ball Double Accelerated Asynchronous Optimization.,Updating the Agenda for Academic Libraries and Scholarly Communications.
Distributed Nesterov Gradient and Heavy-Ball Double Accelerated Asynchronous Optimization.,Expected model for portfolio selection with random fuzzy returns.
Distributed Nesterov Gradient and Heavy-Ball Double Accelerated Asynchronous Optimization.,Directional Motion on Water Surface With Keel Extruded Footpads Propelled by Marangoni Effect.
Distributed Nesterov Gradient and Heavy-Ball Double Accelerated Asynchronous Optimization.,Personal informatics systems for supporting self-regulation in online learning environments.
Horizontal Auto-Scaling for Multi-Access Edge Computing Using Safe Reinforcement Learning.,The Preempt-Resume M/G/1 Queue with Feedback and Clocked Schedules.
Horizontal Auto-Scaling for Multi-Access Edge Computing Using Safe Reinforcement Learning.,The changing mouse embryo transcriptome at whole tissue and single-cell resolution.
Horizontal Auto-Scaling for Multi-Access Edge Computing Using Safe Reinforcement Learning.,Research on Sieving Performance of Flip-Flow Screen Using Two-Way Particles-Screen Panels Coupling Strategy.
Horizontal Auto-Scaling for Multi-Access Edge Computing Using Safe Reinforcement Learning.,Multipath Routing for Video Streaming inWireless Mesh Networks.
Horizontal Auto-Scaling for Multi-Access Edge Computing Using Safe Reinforcement Learning.,Probabilistic visual secret sharing schemes for grey-scale images and color images.
Impact of Monsoon-Transported Anthropogenic Aerosols and Sun-Glint on the Satellite-Derived Spectral Remote Sensing Reflectance in the Indian Ocean.,Targeted estimation of heterogeneous treatment effect in observational survival analysis.
Impact of Monsoon-Transported Anthropogenic Aerosols and Sun-Glint on the Satellite-Derived Spectral Remote Sensing Reflectance in the Indian Ocean.,Computing-in-Memory for Performance and Energy-Efficient Homomorphic Encryption.
Impact of Monsoon-Transported Anthropogenic Aerosols and Sun-Glint on the Satellite-Derived Spectral Remote Sensing Reflectance in the Indian Ocean.,Dynamic QoS control of multimedia applications based on 
Impact of Monsoon-Transported Anthropogenic Aerosols and Sun-Glint on the Satellite-Derived Spectral Remote Sensing Reflectance in the Indian Ocean.,On the Role of Land Surface Temperature as Proxy of Soil Moisture Status for Drought Monitoring in Europe.
Impact of Monsoon-Transported Anthropogenic Aerosols and Sun-Glint on the Satellite-Derived Spectral Remote Sensing Reflectance in the Indian Ocean.,"Review of ""Concurrent and real-time systems: the CSP approach"" by Steve Schneider. Wiley 1999."
Mining Architecture Tactics and Quality Attributes knowledge in Stack Overflow.,Modular Simulation-Based Physical and Emotional Assessment of Ambient Intelligence in Traffic.
Mining Architecture Tactics and Quality Attributes knowledge in Stack Overflow.,∂̄-dressing method for the coupled Gerdjikov-Ivanov equation.
Mining Architecture Tactics and Quality Attributes knowledge in Stack Overflow.,Path partition for graphs with special blocks.
Mining Architecture Tactics and Quality Attributes knowledge in Stack Overflow.,Digital Earth: a new challenge and new vision.
Mining Architecture Tactics and Quality Attributes knowledge in Stack Overflow.,New techniques for untestable fault identification in sequential circuits.
Self-Selected Task Allocation.,Robust load planning of trains in intermodal transportation.
Self-Selected Task Allocation.,"On the optimal, fair and channel-aware cognitive radio network reconfiguration."
Self-Selected Task Allocation.,A method to optimize evacuation instructions.
Self-Selected Task Allocation.,Productive Use of Failure in Inductive Proof.
Self-Selected Task Allocation.,Editorial: State of the Journal.
Comprehensive Application of Spatial and Reasoned Thinking in Physical Education.,Adaptive Geometry Image.
Comprehensive Application of Spatial and Reasoned Thinking in Physical Education.,Workshop on multi-dimensional separation of concerns in software engineering.
Comprehensive Application of Spatial and Reasoned Thinking in Physical Education.,Sensitive Functions and Approximate Problems.
Comprehensive Application of Spatial and Reasoned Thinking in Physical Education.,Real-time event detection using recurrent neural network in social sensors.
Comprehensive Application of Spatial and Reasoned Thinking in Physical Education.,On multiserver feedback retrial queues with balking and control retrial rate.
On the applicability of the Fujisaki-Okamoto transformation to the BIKE KEM.,Integral geometry for the 1-norm.
On the applicability of the Fujisaki-Okamoto transformation to the BIKE KEM.,Factors Influencing Continuous Breath Signal in Intubated and Mechanically-Ventilated Intensive Care Unit Patients Measured by an Electronic Nose.
